Mach,Alpha,CD,CD Power-Off,CD Power-On
1.5,0,1.329742853,1.329742853,1.276217577
1.51,0,1.323434894,1.323434894,1.269909618
1.52,0,1.317232894,1.317232894,1.263707618
1.53,0,1.311136704,1.311136704,1.257611428
1.54,0,1.305146287,1.305146287,1.251621011
1.55,0,1.299261399,1.299261399,1.245736123
1.56,0,1.293481918,1.293481918,1.239956642
1.57,0,1.287807893,1.287807893,1.234282617
1.58,0,1.282238808,1.282238808,1.228713532
1.59,0,1.276774829,1.276774829,1.223249553
1.6,0,1.27141574,1.27141574,1.217890464
1.61,0,1.266161398,1.266161398,1.212636122
1.62,0,1.261011608,1.261011608,1.207486332
1.63,0,1.25596633,1.25596633,1.202441054
1.64,0,1.251025374,1.251025374,1.197500098
1.65,0,1.246188701,1.246188701,1.192663425
1.66,0,1.241456113,1.241456113,1.187930837
1.67,0,1.2368275,1.2368275,1.183302224
1.68,0,1.232302855,1.232302855,1.178777579
1.69,0,1.227881971,1.227881971,1.174356695
1.7,0,1.22356475,1.22356475,1.170039474
1.71,0,1.219350977,1.219350977,1.165825701
1.72,0,1.215240575,1.215240575,1.161715299
1.73,0,1.211233631,1.211233631,1.157708355
1.74,0,1.207329954,1.207329954,1.153804678
1.75,0,1.203529351,1.203529351,1.150004075
1.76,0,1.199831753,1.199831753,1.146306477
1.77,0,1.19623723,1.19623723,1.142711954
1.78,0,1.192745447,1.192745447,1.139220171
1.79,0,1.189356518,1.189356518,1.135831242
1.8,0,1.186070137,1.186070137,1.132544861
1.81,0,1.183712135,1.183712135,1.130186859
1.82,0,1.181196013,1.181196013,1.127670737
1.83,0,1.178689993,1.178689993,1.125164717
1.84,0,1.17619399,1.17619399,1.122668714
1.85,0,1.173707925,1.173707925,1.120182649
1.86,0,1.171231718,1.171231718,1.117706442
1.87,0,1.168765292,1.168765292,1.115240016
1.88,0,1.166308573,1.166308573,1.112783297
1.89,0,1.163861494,1.163861494,1.110336218
1.9,0,1.161423964,1.161423964,1.107898688
1.91,0,1.158995822,1.158995822,1.105470546
1.92,0,1.156577094,1.156577094,1.103051818
1.93,0,1.154167613,1.154167613,1.100642337
1.94,0,1.151767301,1.151767301,1.098242025
1.95,0,1.149376206,1.149376206,1.09585093
1.96,0,1.146994047,1.146994047,1.093468771
1.97,0,1.144620957,1.144620957,1.091095681
1.98,0,1.14225679,1.14225679,1.0885942
1.99,0,1.139901366,1.139901366,1.086101462
2,0,1.137554721,1.137554721,1.083617503
2.01,0,1.135343141,1.135343141,1.08126861
2.02,0,1.133133727,1.133133727,1.078921881
2.03,0,1.130939638,1.130939638,1.076590479
2.04,0,1.128760576,1.128760576,1.074274102
2.05,0,1.126596347,1.126596347,1.071972559
2.06,0,1.124446765,1.124446765,1.069685663
2.07,0,1.122311756,1.122311756,1.067413341
2.08,0,1.120190929,1.120190929,1.065155199
2.09,0,1.118084311,1.118084311,1.062911267
2.1,0,1.115991544,1.115991544,1.060681187
2.11,0,1.113912467,1.113912467,1.058464795
2.12,0,1.111847123,1.111847123,1.056262138
2.13,0,1.109795142,1.109795142,1.054072843
2.14,0,1.107756393,1.107756393,1.05189678
2.15,0,1.105730728,1.105730728,1.049733801
2.16,0,1.103718094,1.103718094,1.047583853
2.17,0,1.101718159,1.101718159,1.045446604
2.18,0,1.09973099,1.09973099,1.043322121
2.19,0,1.097756356,1.097756356,1.041210173
2.2,0,1.09579403,1.09579403,1.039110533
2.21,0,1.09384398,1.09384398,1.03702317
2.22,0,1.091906094,1.091906094,1.034947969
2.23,0,1.089980142,1.089980142,1.032884704
2.24,0,1.088066113,1.088066113,1.030833361
2.25,0,1.086163801,1.086163801,1.028793734
2.26,0,1.084273086,1.084273086,1.026765706
2.27,0,1.082393863,1.082393863,1.024749169
2.28,0,1.080526126,1.080526126,1.022744118
2.29,0,1.078669565,1.078669565,1.020750242
2.3,0,1.076824193,1.076824193,1.018767557
2.31,0,1.074989897,1.074989897,1.016795947
2.32,0,1.073166582,1.073166582,1.014835318
2.33,0,1.071354068,1.071354068,1.01288549
2.34,0,1.069552239,1.069552239,1.010946347
2.35,0,1.067761122,1.067761122,1.009017916
2.36,0,1.065980618,1.065980618,1.007100099
2.37,0,1.064210435,1.064210435,1.005192602
2.38,0,1.062450604,1.062450604,1.003295456
2.39,0,1.060701129,1.060701129,1.001408668
2.4,0,1.058961725,1.058961725,0.9995319492
2.41,0,1.057232425,1.057232425,0.9976653356
2.42,0,1.055513129,1.055513129,0.9958087255
2.43,0,1.05380368,1.05380368,0.9939619623
2.44,0,1.052104081,1.052104081,0.9921250499
2.45,0,1.050414272,1.050414272,0.9902979268
2.46,0,1.048733973,1.048733973,0.98889681
2.47,0,1.047063318,1.047063318,0.9875053375
2.48,0,1.045402124,1.045402124,0.9861233253
2.49,0,1.043750325,1.043750325,0.9847507086
2.5,0,1.042107856,1.042107856,0.9833874212
2.51,0,1.040474647,1.040474647,0.9820333949
2.52,0,1.038850535,1.038850535,0.9806884644
2.53,0,1.037235536,1.037235536,0.9793526483
2.54,0,1.035629611,1.035629611,0.9780259055
2.55,0,1.034032583,1.034032583,0.9767080596
2.56,0,1.032444388,1.032444388,0.9753990461
2.57,0,1.030865064,1.030865064,0.9740989049
2.58,0,1.02929446,1.02929446,0.9728074832
2.59,0,1.027732502,1.027732502,0.971524707
2.6,0,1.026179044,1.026179044,0.9702504311
2.61,0,1.024634217,1.024634217,0.968984786
2.62,0,1.023097868,1.023097868,0.9677276193
2.63,0,1.021569843,1.021569843,0.9664787768
2.64,0,1.020050179,1.020050179,0.965238295
2.65,0,1.018538729,1.018538729,0.9640060269
2.66,0,1.017035432,1.017035432,0.9627819123
2.67,0,1.015540343,1.015540343,0.9615660047
2.68,0,1.014053299,1.014053299,0.9603581434
2.69,0,1.012574353,1.012574353,0.9591583793
2.7,0,1.011103249,1.011103249,0.9579664578
